SCRUB_ITEM,PRICE_START_DATE,PRICE_END_DATE,TSC_PRICE
1,2019-08-26,2019-10-03,199.990
1,2019-10-04,2019-10-08,179.990
1,2019-10-09,2019-10-27,199.990
1,2019-10-28,2019-10-29,179.990
1,2019-10-30,2019-11-05,199.990
1,2019-11-06,2019-11-10,179.990
1,2019-11-11,2019-11-19,179.990
1,2019-11-20,2019-11-26,199.990
1,2019-11-27,2019-12-01,159.990
1,2019-12-02,2019-12-10,169.990
1,2019-12-11,2019-12-17,199.990
1,2019-12-18,2019-12-24,169.990
1,2019-12-25,2019-12-31,199.990
1,2020-01-01,2020-01-07,169.990
1,2020-01-08,2020-01-12,199.990
1,2020-01-13,2020-01-19,179.990
1,2020-01-20,2020-02-17,199.990
1,2020-02-18,2020-02-23,179.990
1,2020-02-24,2020-02-25,179.990
1,2020-02-26,2020-03-03,199.990
1,2020-03-04,2020-03-08,159.990
1,2020-03-09,2020-03-29,199.990
1,2020-03-30,2020-04-07,179.990
1,2020-04-08,2020-04-19,199.990
1,2020-04-20,2020-04-28,179.990
1,2020-04-29,2020-05-19,199.990
1,2020-05-20,2020-05-25,159.990
1,2020-05-26,2020-06-07,199.990
1,2020-06-08,2020-06-16,179.990
1,2020-06-17,2020-09-01,199.990
1,2020-09-02,2020-09-07,179.990
1,2020-09-08,2020-09-20,199.990
1,2020-09-21,2020-09-22,179.990
1,2020-09-23,2020-11-08,199.990
1,2020-11-09,2020-11-12,179.990
1,2020-11-13,2020-11-15,179.990
1,2020-11-16,2020-12-12,199.990
1,2020-12-13,2020-12-18,179.990
1,2020-12-19,2020-12-31,179.990
1,2021-01-01,2021-03-02,199.990
1,2021-03-03,2021-03-07,179.990
1,2021-03-08,2021-03-14,199.990
1,2021-03-15,2021-03-16,179.990
1,2021-03-17,2021-03-21,179.990
1,2021-03-22,2021-04-18,199.990
1,2021-04-19,2021-04-27,179.990
1,2021-04-28,2021-05-21,199.990
1,2021-05-22,2021-06-13,209.990
1,2021-06-14,2021-06-15,188.990
