SCRUB_ITEM,TIME_DIM_KEY,SCRUB_TRANS_NO,TRANS_SEQ_NO,UNIT_QTY,UNIT_PRICE,UNIT_COST
1,20180402,1296,2,2.000,322.99,132.970
1,20181206,6878,1,1.000,322.99,132.970
1,20181210,7010,2,2.000,322.99,132.970
1,20190214,8380,2,1.000,322.99,132.970
1,20190502,10639,1,2.000,219.99,132.970
1,20190515,10987,1,1.000,187.12,132.970
1,20190529,11343,1,1.000,187.12,132.970
1,20190607,11708,1,1.000,186.75,132.970
1,20190610,11788,2,2.000,186.75,132.970
1,20190611,11846,1,1.000,186.75,132.970
1,20190617,12019,1,1.000,186.75,132.970
1,20190617,12020,1,1.000,186.75,132.970
1,20190624,12174,1,1.000,186.75,132.970
1,20190626,12235,1,2.000,186.75,132.970
1,20190702,12380,1,1.000,186.38,132.970
1,20190702,12381,1,2.000,186.38,132.970
1,20190708,12555,1,2.000,186.38,132.970
1,20190708,12569,1,1.000,186.38,132.970
1,20190709,12685,1,1.000,186.38,132.970
1,20190717,12930,1,2.000,158.42,132.970
1,20190729,13157,1,1.000,199.99,132.970
1,20190731,13220,1,2.000,199.99,132.970
1,20190731,13236,1,1.000,199.99,132.970
1,20190805,13383,1,2.000,167.74,132.970
1,20190808,13483,1,2.000,199.99,132.970
1,20190814,13577,1,0.000,167.74,132.970
1,20190820,13694,1,1.000,199.99,132.970
1,20190822,13743,1,1.000,179.99,132.970
1,20190823,13778,1,1.000,179.99,132.970
1,20190823,13779,1,1.000,179.99,132.970
1,20190826,13827,1,1.000,179.99,132.970
1,20190920,14984,1,2.000,199.99,132.970
1,20190923,15090,1,3.000,199.99,132.970
1,20190924,15218,1,1.000,199.99,132.970
1,20191002,15626,1,0.000,199.99,132.970
1,20191007,15823,1,2.000,179.99,132.970
1,20191007,15824,1,2.000,199.99,132.970
1,20191007,15825,1,2.000,179.99,132.970
1,20191017,16344,1,1.000,199.99,132.970
1,20191105,17669,1,2.000,199.99,132.970
1,20191106,17766,1,1.000,179.99,132.970
1,20191114,18498,1,1.000,179.99,132.970
1,20191118,18697,1,1.000,179.99,132.970
1,20191118,18698,1,1.000,179.99,132.970
1,20191118,18699,1,2.000,179.99,132.970
1,20191118,18700,1,2.000,179.99,132.970
1,20191118,18701,1,1.000,179.99,132.970
1,20191118,18703,2,2.000,179.99,132.970
1,20191119,18784,1,1.000,179.99,132.970
1,20191122,18965,2,1.000,199.99,132.970
1,20191125,19128,1,1.000,199.99,132.970
1,20191125,19130,1,1.000,199.99,132.970
1,20191125,19135,1,1.000,199.99,132.970
1,20191127,19244,1,1.000,159.99,132.970
1,20191202,19632,1,1.000,159.99,132.970
1,20191202,19646,1,1.000,159.99,132.970
1,20191202,19648,1,2.000,159.99,132.970
1,20191202,19649,1,2.000,159.99,132.970
